"","name","pweight_x","pweight_y","pop11","number_lsoa","type","number_oa","imputed_easting","imputed_northing","imputed_type","imputed_error","imputed_osm_nm"
"1449","Windsor BUASD",495118.589577238,176250.283884571,30761,18,"buasd",NA,496389.70146516,176749.244826724,"town",1365.53559214374,"Windsor"
"1450","Winford BUASD",456427.566528752,83875.9520428551,1464,1,"buasd",NA,456427.566528752,83875.9520428551,"Origin",NA,NA
"1451","Wingerworth BUASD",437869.649778655,367436.942619874,5485,4,"buasd",NA,437869.649778655,367436.942619874,"Origin",NA,NA
"1452","Wisbech BUASD",546999.746190749,309238.436816927,29711,18,"buasd",NA,546215.753187012,309685.848999119,"town",902.675296373229,"Wisbech"
"1453","Witherley BUASD",432865.996336625,297460.766155665,1373,1,"buasd",NA,432865.996336625,297460.766155665,"Origin",NA,NA
"1454","Withnell BUASD",363356.328768552,422176.597311298,1341,1,"buasd",NA,363356.328768552,422176.597311298,"Origin",NA,NA
"1455","Witton Gilbert BUASD",423648.278928488,546209.421580447,1467,1,"buasd",NA,423648.278928488,546209.421580447,"Origin",NA,NA
"1456","Wivelsfield BUASD",534494.920157281,120196.886992003,1980,1,"buasd",NA,534494.920157281,120196.886992003,"Origin",NA,NA
"1457","Wivenhoe BUASD",604026.348456654,222294.553778844,6634,4,"buasd",NA,604075.491088204,222917.420869196,"town",624.80269724075,"Wivenhoe"
"1458","Woburn Sands BUASD",493002.230498576,236008.179652374,4694,3,"buasd",NA,493002.230498576,236008.179652374,"Origin",NA,NA
"1459","Woking BUASD",500091.700359277,159200.247763367,105758,65,"buasd",NA,500690.178332597,158887.101572668,"town",675.452752824244,"Woking"
"1460","Wokingham BUASD",480407.428886409,168073.738843786,39371,25,"buasd",NA,481299.724923585,168758.817563461,"town",1124.95558583943,"Wokingham"
"1461","Woldingham BUASD",536956.597549868,156008.403115211,2141,1,"buasd",NA,536956.597549868,156008.403115211,"Origin",NA,NA
"1462","Wolverhampton BUASD",390889.489749742,299061.16740478,210657,134,"buasd",NA,391453.841000718,298558.546048155,"city",755.725189876708,"Wolverhampton"
"1463","Wombwell BUASD",440125.776639615,403398.020802768,22825,15,"buasd",NA,439662.220095934,402864.988920075,"town",706.404740327295,"Wombwell"
"1464","Woodbridge BUASD",626957.639081646,249502.14415673,11341,6,"buasd",NA,627522.981405481,249173.239201276,"town",654.056888077055,"Woodbridge"
"1465","Woodend BUASD",441466.841489291,428266.683910471,5292,3,"buasd",NA,441466.841489291,428266.683910471,"Origin",NA,NA
"1466","Woodingdean BUASD",536069.817443129,105568.24308456,9793,6,"buasd",NA,536069.817443129,105568.24308456,"Origin",NA,NA
"1467","Woodley BUASD",476850.942593808,172560.098203187,36970,24,"buasd",NA,476850.942593808,172560.098203187,"Origin",NA,NA
"1468","Wootton (Bedford) BUASD",500811.790903202,245324.163862254,4156,3,"buasd",NA,500811.790903202,245324.163862254,"Origin",NA,NA
"1469","Worcester BUASD",385558.25022575,255361.314755493,98768,63,"buasd",NA,385012.765885131,254794.578693846,"city",786.602141766517,"Worcester"
"1470","Worden BUASD",356705.657943085,420283.592184158,4501,2,"buasd",NA,356705.657943085,420283.592184158,"Origin",NA,NA
"1471","Workington BUASD",299938.53330695,527304.918629893,22335,14,"buasd",NA,300328.567265462,528482.192143505,"town",1240.20136052384,"Workington"
"1472","Worksop BUASD",458691.166366525,379947.384552162,39475,24,"buasd",NA,458500.690379218,379017.294826878,"town",949.393489981249,"Worksop"
"1473","Wormley BUASD",494799.60720178,138548.387310999,1577,1,"buasd",NA,494799.60720178,138548.387310999,"Origin",NA,NA
"1474","Worsbrough BUASD",435551.00047928,404194.657904243,9416,6,"buasd",NA,435551.00047928,404194.657904243,"Origin",NA,NA
"1475","Worsley BUASD",372832.509797793,400952.455134156,7257,5,"buasd",NA,372145.87507172,400631.388162926,"townhall",757.991587726497,NA
"1476","Worsthorne BUASD",387573.407526451,432426.50821517,1221,1,"buasd",NA,387573.407526451,432426.50821517,"Origin",NA,NA
"1477","Worthing BUASD",513187.941371876,103784.365482733,109120,68,"buasd",NA,514907.592758406,102614.063114534,"town",2080.0982006159,"Worthing"
"1478","Wraysbury BUASD",498903.125278995,174269.514079633,6643,4,"buasd",NA,498903.125278995,174269.514079633,"Origin",NA,NA
"1479","Wrexham BUASD",333193.972309967,351399.35684894,61653,39,"buasd",NA,333472.694126856,350377.749322766,"town",1058.94654668925,"Wrexham"
"1480","Wythall BUASD",408511.535693195,275433.002328974,2435,2,"buasd",NA,408511.535693195,275433.002328974,"Origin",NA,NA
"1481","Yalding BUASD",569949.303072739,150285.212356716,1365,1,"buasd",NA,569949.303072739,150285.212356716,"Origin",NA,NA
"1482","Yapton BUASD",497865.47669178,103127.110900147,2758,2,"buasd",NA,497865.47669178,103127.110900147,"Origin",NA,NA
"1483","Yate BUASD",371130.020776373,182306.208252661,29184,20,"buasd",NA,371432.260887567,182463.901785806,"town",340.905170407526,"Yate"
"1484","Yateley BUASD",481425.366034956,160516.450977459,14829,9,"buasd",NA,481425.366034956,160516.450977459,"Origin",NA,NA
"1485","Yatton BUASD",343048.870227341,165866.932648037,7733,5,"buasd",NA,343177.031392787,165588.09047749,"townhall",306.884734719604,"Claverham Village Hall"
"1486","Yeadon BUASD",420723.359782724,440675.756199241,19887,14,"buasd",NA,420808.516506569,440872.996484296,"town",214.838073126186,"Yeadon"
"1487","Ynysddu BUASD",317982.726600456,192837.203129068,1581,1,"buasd",NA,317982.726600456,192837.203129068,"Origin",NA,NA
"1488","York BUASD",459965.040616607,451983.931183674,150484,89,"buasd",NA,460362.581575565,451831.24454408,"city",425.854463355491,"York"
"1489","Ystrad Mynach BUASD",314491.016078996,195563.530633021,18843,11,"buasd",NA,314471.287128698,194392.974099013,"town",1170.72278135687,"Ystrad Mynach"
"1490","Ystradgynlais BUASD",277834.51003744,209690.210416049,9687,6,"buasd",NA,278880.734763727,210713.105912119,"town",1463.18193461176,"Ystradgynlais"
"1491","Aberchirder",362680.763136621,852632.736459175,1237,NA,"locality",10,362680.763136621,852632.736459175,"Origin",NA,NA
"1492","Aberdeen",392416.040549691,806957.257820114,194946,NA,"locality",1765,394483.255957422,806376.927618027,"city",2147.1289401004,"Aberdeen"
"1493","Aberdour",319107.588487446,685413.391916718,1633,NA,"locality",14,319107.588487446,685413.391916718,"Origin",NA,NA
"1494","Aberfeldy",285616.913393756,749049.397784491,1986,NA,"locality",16,285648.726868422,749051.498275404,"town",31.8827419207934,"Aberfeldy"
"1495","Aberfoyle",252044.256176853,700966.055916775,769,NA,"locality",8,252044.256176853,700966.055916775,"Origin",NA,NA
