"","zone","year","country","la","ttwa","pop","inc.n","noninc.n","social.HH","nonsocial.HH","dist_main","dist_nearest","crime","live.in","geo","pm25","work","area"
"101","S01006606",2020,"Scotland","Aberdeen City","Aberdeen",794,52,742,70,320,2949.49332738575,2949.49332738575,3734,3625,3471,3812,10442.4688771342,429385.511288444
"102","S01006607",2020,"Scotland","Aberdeen City","Aberdeen",919,96,823,108,277,2850.63247003149,2850.63247003149,4292,1663,5821,3812,12249.3679357489,197222.513284493
"103","S01006608",2020,"Scotland","Aberdeen City","Aberdeen",1653,53,1600,14,270,5711.11716124399,5711.11716124399,3653,4827,965,2962,2381.7893733842,5509842.041599
"104","S01006609",2020,"Scotland","Aberdeen City","Aberdeen",1054,113,941,163,327,3237.92248135055,3237.92248135055,2254.5,2227,5070,1085,11437.7345073788,186283.429363945
"105","S01006610",2020,"Scotland","Aberdeen City","Aberdeen",431,52,379,79,133,3467.64787373544,3467.64787373544,4338,2130,5441,3812,9083.37157579857,71823.3410859872
"106","S01006611",2020,"Scotland","Aberdeen City","Aberdeen",906,106,800,159,266,3592.55729361074,3592.55729361074,2426,1946,4710,4081,7972.11189075637,128178.593490394
"107","S01006612",2020,"Scotland","Aberdeen City","Aberdeen",858,49,809,61,312,4101.79507391825,4101.79507391825,2921,4272,3337,4081,5859.30565053165,154105.255396419
"108","S01006613",2020,"Scotland","Aberdeen City","Aberdeen",591,8,583,2,257,5496.26268318404,5496.26268318404,3842,5294,3205,2826.5,2694.70094226112,200792.74215601
"109","S01006614",2020,"Scotland","Aberdeen City","Aberdeen",669,20,649,4,261,5822.4606247797,5822.4606247797,6266,6277,3566,2826.5,2085.11452931508,307713.309181368
"110","S01006615",2020,"Scotland","Aberdeen City","Aberdeen",838,30,808,7,263,5870.49124861623,5870.49124861623,5958,6640,1704,2826.5,2153.90274327168,170971.268132915
"111","S01006616",2020,"Scotland","Aberdeen City","Aberdeen",747,16,731,8,329,5632.80701298421,5632.80701298421,6081,4782,4163,2826.5,2339.47765415812,133601.123557258
"112","S01006617",2020,"Scotland","Aberdeen City","Aberdeen",635,18,617,34,263,5327.8767107956,5327.8767107956,3533,4538,4624,3848,2751.10840354122,168470.720060822
"113","S01006618",2020,"Scotland","Aberdeen City","Aberdeen",474,9,465,2,244,5257.44699218747,5257.44699218747,6322,5357,4723,1974,3104.42521782365,142013.345842645
"114","S01006619",2020,"Scotland","Aberdeen City","Aberdeen",869,24,845,29,343,4957.03061562146,4957.03061562146,5501,4641,2657,3848,3501.1871809221,862098.906748906
"115","S01006620",2020,"Scotland","Aberdeen City","Aberdeen",786,40,746,50,340,4810.65355885285,4810.65355885285,4579,3973,4533,3848,4086.5126373087,208401.737974527
"116","S01006621",2020,"Scotland","Aberdeen City","Aberdeen",504,16,488,18,217,4578.3598950669,4578.3598950669,6375,4009.5,5045,1974,4976.59698115165,84132.9224008783
"117","S01006622",2020,"Scotland","Aberdeen City","Aberdeen",663,26,637,5,287,4848.59280506671,4848.59280506671,6255,3067,5085,1974,4117.27017800057,85919.753095543
"118","S01006623",2020,"Scotland","Aberdeen City","Aberdeen",719,63,656,102,257,3126.03352650538,3126.03352650538,60,2155,3045,3681,13080.2379704862,5810998.2959243
"119","S01006624",2020,"Scotland","Aberdeen City","Aberdeen",771,87,684,109,372,1586.26551097492,1586.26551097492,1381,160,6786,1642,16993.8143726201,142865.300299447
"120","S01006625",2020,"Scotland","Aberdeen City","Aberdeen",621,71,550,72,216,1774.15266592537,1774.15266592537,567,1674,6754,1642,15591.3056730846,119021.949850922
"121","S01006626",2020,"Scotland","Aberdeen City","Aberdeen",683,121,562,201,176,1578.79047038535,1578.79047038535,374,684,6458,1642,15194.5990276211,119446.804225978
"122","S01006627",2020,"Scotland","Aberdeen City","Aberdeen",818,128,690,163,348,1431.87734291087,1431.87734291087,1592,84,6262,648.5,14580.8112769678,215260.255346894
"123","S01006628",2020,"Scotland","Aberdeen City","Aberdeen",1055,131,924,153,482,1291.8323400563,1291.8323400563,313,45,6714,648.5,17287.2468715642,99355.5275255218
"124","S01006629",2020,"Scotland","Aberdeen City","Aberdeen",872,201,671,196,119,1951.60414156305,1951.60414156305,1272,902,6681,1642,15974.1513929802,117072.97173052
"125","S01006630",2020,"Scotland","Aberdeen City","Aberdeen",652,138,514,133,123,2092.6606181314,2092.6606181314,1393,1174,5006,1642,15338.6729995666,186684.746688711
"126","S01006631",2020,"Scotland","Aberdeen City","Aberdeen",1047,181,866,242,251,1792.60634536153,1792.60634536153,550,795,2542,5348,9493.01376503393,1004706.45543228
"127","S01006632",2020,"Scotland","Aberdeen City","Aberdeen",826,163,663,272,151,1657.88524585712,1657.88524585712,820,759,5338,3708,13416.7881351922,80255.2018929496
