"","zone","type","area"
"638","E01000638","lsoa01",293798.814427576
"639","E01000639","lsoa01",96614.2998971504
"640","E01000640","lsoa01",123306.140939752
"641","E01000641","lsoa01",107878.997880097
"642","E01000642","lsoa01",159233.832303094
"643","E01000643","lsoa01",571398.388223102
"644","E01000644","lsoa01",123227.6749037
"645","E01000645","lsoa01",780373.495984782
"646","E01000646","lsoa01",352221.657041237
"647","E01000647","lsoa01",251949.489357511
"648","E01000648","lsoa01",379050.106271632
"649","E01000649","lsoa01",853961.977204564
"650","E01000650","lsoa01",885886.631487422
"651","E01000651","lsoa01",290539.163739373
"652","E01000652","lsoa01",577425.95851716
"653","E01000653","lsoa01",497234.468684663
"654","E01000654","lsoa01",1059930.27364871
"655","E01000655","lsoa01",380578.80331299
"656","E01000656","lsoa01",3404892.88564719
"657","E01000657","lsoa01",307573.726059126
"658","E01000658","lsoa01",2166214.39973723
"659","E01000659","lsoa01",509231.512463152
"660","E01000660","lsoa01",454219.677597628
"661","E01000661","lsoa01",937891.921977829
"662","E01000662","lsoa01",523673.465165922
