"","zone","accessA","accessB"
"598","E01027481",23342,658.399309260593
"599","E01027401",315342,2550.91342865442
"600","E01027480",14312,37.7419642882918
"601","E01027408",395322,2930.18523917415
"602","E01027489",16217,2050.70292502143
"603","E01027409",377544,3936.19370737738
"604","E01027488",14601,379.133895349905
"605","E01020826",115744,2979.96587910941
"606","E01020827",152385,459.634711239173
"607","E01020824",112827,3139.45622010774
"608","E01020825",118000,3024.77054108892
"609","E01020822",112853,936.895081059039
"610","E01020823",112380,1301.03993051619
"611","E01020820",114417,2717.27919999522
"612","E01020821",112370,953.478956093311
"613","E01020828",171834,605.507989297781
"614","E01020829",165253,649.385745883051
"615","E01008876",550437,3985.27354377062
"616","E01008877",557570,3628.71791403002
"617","E01008874",565353,6316.50122200978
"618","E01008875",564630,5893.05925924239
"619","E01008872",540102,4873.63191237716
"620","E01008873",563582,5283.64975140548
"621","E01008870",541048,5147.25922222714
"622","E01008871",538669,5706.1644050441
"623","E01008878",557755,4510.90715494187
"624","E01008879",557323,5514.07531350275
"625","E01012176",147709,2730.92348441184
"626","E01012177",143301,1831.89656946497
"627","E01012174",221432,3787.71586074666
"628","E01012175",221978,3353.74679843927
"629","E01012172",220304,3305.33900923312
"630","E01012173",220158,3494.20209914966
"631","E01012170",228256,4311.93361533809
"632","E01012171",217548,2717.05161697247
"633","E01012178",150420,3227.82009840668
"634","E01012179",150570,2310.98560006536
"635","E01012026",221542,10955.6540766598
"636","E01012027",220931,10733.8851747095
"637","E01012024",196209,3799.2959788527
"638","E01012025",197818,3505.70751829013
"639","E01012022",194241,3225.60651140524
"640","E01012023",197831,3129.67481665401
"641","E01012020",216507,9483.23381263148
"642","E01012021",210194,7519.33217471777
"643","E01012316",85734,9763.84304929602
"644","E01012317",101357,4832.80132820036
"645","E01012314",91118,2502.90073609805
"646","E01012315",84439,7196.24960001026
"647","E01012312",92281,3521.7443395624
"648","E01012313",89525,4206.14451564857
"649","E01012310",91544,4790.97532114298
"650","E01012311",94280,6400.06276105173
"651","E01008376",459524,8522.71937155864
"652","E01008377",451556,7105.04831583937
"653","E01008374",464447,9475.25988773508
"654","E01008372",484150,16247.3030586395
"655","E01008373",485710,16888.5804216711
"656","E01008370",490637,25506.3240556105
"657","E01012318",109899,3949.71716223712
"658","E01008371",484364,15241.8228185941
"659","E01012319",117483,5014.57041313322
"660","E01008378",472653,10492.3983918738
"661","E01005161",948341,8922.05960135723
"662","E01005168",826594,10360.3860600837
"663","E01007156",432593,7836.43532405932
"664","E01005169",825150,9962.39753248969
"665","E01007157",423904,6339.36951106514
"666","E01007154",461310,4493.44289459962
"667","E01007155",448326,9654.32448296668
"668","E01007152",466903,5459.51745367033
"669","E01007153",465514,4998.22244185917
"670","E01007150",446842,1904.62163478116
"671","E01007151",467215,4714.7093897708
"672","E01007158",423618,6522.69494241347
"673","E01007159",402282,4455.35515344066
"674","E01025056",196040,3857.49183169255
"675","E01025057",203853,6373.72007927292
"676","E01025054",195980,2959.97989121052
"677","E01025055",195717,3362.00637286986
"678","E01025052",206237,4711.46994776077
"679","E01025053",202100,2682.69318219514
"680","E01025050",198733,4133.24744751615
"681","E01025051",200706,2966.36800122237
"682","E01025058",203310,6515.89267238342
"683","E01025059",205340,5676.60708091546
"684","E01019087",30429,1623.44656147876
"685","E01019086",30160,719.771463945059
"686","E01019085",30906,327.707351985959
"687","E01019084",30325,274.147324220078
"688","E01019083",16198,27.2618421160572
"689","E01019082",17284,396.097762130914
"690","E01019081",16971,345.480520598724
"691","E01019080",30792,1616.58763723931
"692","E01005056",807362,4415.04401857122
"693","E01005057",795357,4502.20357309394
"694","E01005054",774366,5677.88461653508
"695","E01019089",39433,436.866985592494
"696","E01005055",787280,5016.22328367322
"697","E01019088",30316,2148.75592449585
"698","E01005052",437552,2882.08375200817
"699","E01005053",532288,3243.00102483811
"700","E01005050",480910,3603.55477026703
"701","E01005051",422804,2910.31485819702
"702","E01005058",809747,4895.18352527432
"703","E01007006",454385,8934.96820742748
"704","E01005246",922713,24032.6078814754
"705","E01005247",866379,7569.50645969401
"706","E01005244",926186,27571.7128255746
"707","E01019238",56435,1837.71240814341
"708","E01005245",928403,25040.4287949557
"709","E01019239",54300,179.408015676141
"710","E01005242",917287,22894.8886290322
"711","E01005243",925670,24242.1158059279
"712","E01005240",915946,20813.5507049998
"713","E01005241",909981,18970.2044599025
"714","E01005248",884138,7091.95039946007
"715","E01005249",888589,7160.29394696459
"716","E01007236",440144,7275.73070580654
"717","E01007237",427701,3793.79033206045
"718","E01007234",440353,6031.54730521606
"719","E01007235",434966,6247.42218318389
"720","E01007232",440784,6974.03291911872
"721","E01033197",173565,8357.70264411315
"722","E01033195",182053,8336.14851265268
"723","E01033198",226368,1195.67842563165
"724","E01033076",435748,6539.42130982766
"725","E01033077",284069,3527.82213586886
"726","E01033074",445833,3930.11723311978
"727","E01033075",388844,8319.7295016565
"728","E01027397",375507,2700.48473962273
"729","E01027396",367209,2790.98325323054
"730","E01027395",382527,2151.29881941574
"731","E01027394",397206,2598.181138854
"732","E01027393",184977,2991.10271497005
"733","E01027392",174478,3294.89898973856
"734","E01027391",169653,3655.22660258245
"735","E01027390",2902,439.209319953
"736","E01027399",354125,2508.71683163053
"737","E01027398",333035,2229.17928856453
