"","zone","accessA","accessB"
"550","S01000550",8680,1473.93387040505
"551","S01000551",6499,393.771550383655
"552","S01000552",8636,1615.17042618902
"553","S01000553",8538,2089.48230452599
"554","S01000554",8513,2109.70437270646
"555","S01000555",6507,372.277174343067
"556","S01000556",8499,2043.44252668315
"557","S01000557",8372,2460.59706191448
"558","S01000558",8326,2650.89848779315
"559","S01000559",8364,2611.87338313799
"560","S01000560",8461,2182.46591755328
"561","S01000561",8326,2913.8334777146
"562","S01000562",8364,2415.35885348217
"563","S01000563",8326,3061.74213912779
"564","S01000564",8326,2537.29190562961
"565","S01000565",8521,140.595227965609
"566","S01000566",8326,2337.76810081528
"567","S01000567",8591,370.162137794467
"568","S01000568",8494,130.25717855583
"569","S01000569",78887,1340.25434356268
"570","S01000570",79099,1611.8585618837
"571","S01000571",78327,1188.01934284784
"572","S01000572",78887,1366.14168908805
"573","S01000573",79026,1398.37572230483
"574","S01000574",78956,1231.91648951532
"575","S01000575",77961,979.391972629548
"576","S01000576",78555,1295.8153209223
"577","S01000577",78406,877.493788478615
"578","S01000578",78026,1016.34997978873
"579","S01000579",78660,1176.84429723687
"580","S01000580",75124,582.478344878429
"581","S01000581",76753,987.201328396233
"582","S01000582",53520,637.670152520364
"583","S01000583",47507,798.13294794049
"584","S01000584",39568,1036.40225785253
"585","S01000585",37448,1157.7825790752
"586","S01000586",58700,523.487178584719
"587","S01000587",39513,996.166488424525
"588","S01000588",35966,1195.5022148151
"589","S01000589",34030,777.842689327211
"590","S01000590",34736,1084.49311854899
"591","S01000591",76536,745.529021661719
"592","S01000592",38158,1088.79625296979
"593","S01000593",35313,601.159989559816
"594","S01000594",81519,372.174738590177
"595","S01000595",34875,956.207436294486
"596","S01000596",33994,727.536447953726
"597","S01000597",34414,679.084931464553
"598","S01000598",83250,394.143104313784
"599","S01000599",74591,129.442152668024
"600","S01000600",83158,205.103808501469
"601","S01000601",76635,403.747409358851
"602","S01000602",83277,269.924438219208
"603","S01000603",80967,74.0050422628234
"604","S01000604",14720,1757.7176795796
"605","S01000605",13526,2605.85238210001
"606","S01000606",13504,2882.12340177428
"607","S01000607",13716,2113.23465134581
"608","S01000608",13337,3019.36188263696
"609","S01000609",13948,1847.73792722678
"610","S01000610",13337,3329.89634648215
"611","S01000611",13727,2097.33858716126
