"","year","country","la","ttwa","pop","inc.n","noninc.n","dist_main","dist_nearest","crime","live.in","geo","pm25","work"
"3562",2012,"Scotland","Glasgow City","Glasgow",686,275,411,6864.77076838328,5674.40308754328,371,254,6438,2.5,6849.75135174061
"3563",2012,"Scotland","Glasgow City","Glasgow",597,195,402,4152.00264442415,4152.00264442415,1354,382,4597,363,5301.4804765632
"3564",2012,"Scotland","Glasgow City","Glasgow",655,340,315,2494.60463526288,2494.60463526288,73,493,6077,665.5,18747.932156909
"3565",2012,"Scotland","Glasgow City","Glasgow",808,285,523,3081.42631011462,3081.42631011462,2865,996,5770,450.5,10930.5940766363
"3566",2012,"Scotland","Glasgow City","Glasgow",706,80,626,3014.30868768599,3014.30868768599,1440,523,5244,537.5,21274.872173565
"3567",2012,"Scotland","Glasgow City","Glasgow",1088,415,673,2418.0766350286,2418.0766350286,566,526,4243,368,17656.4158083923
"3568",2012,"Scotland","Glasgow City","Glasgow",794,30,764,3774.28572815526,3774.28572815526,4048,4494,4847,572.5,17790.2898573931
"3569",2012,"Scotland","Glasgow City","Glasgow",687,50,637,5555.63337726305,5555.63337726305,5190,5261,3323,480,10421.8124688106
"3570",2012,"Scotland","Glasgow City","Glasgow",972,65,907,6610.88426582046,6107.42936589835,4911,3160,5710,263.5,7343.71412949569
"3571",2012,"Scotland","Glasgow City","Glasgow",885,235,650,7306.70073788871,5474.89370062104,694,752,6098,2.5,6055.51901493037
"3572",2012,"Scotland","Glasgow City","Glasgow",1182,430,752,3045.90522282052,3045.90522282052,545,211,5967,282,11509.4031594761
"3573",2012,"Scotland","Glasgow City","Glasgow",877,240,637,3197.39695561649,3197.39695561649,2326,630,4511,450.5,9985.3711013093
"3574",2012,"Scotland","Glasgow City","Glasgow",986,60,926,3373.06278382962,3373.06278382962,2712,668,4977,572.5,18939.229045004
"3575",2012,"Scotland","Glasgow City","Glasgow",947,250,697,6984.56061329936,5776.36660239834,1954,306,6139,2.5,6548.95268178964
"3576",2012,"Scotland","Glasgow City","Glasgow",928,40,888,4466.19390940418,4466.19390940418,744,1365,4180,886.5,14598.6319768831
"3577",2012,"Scotland","Glasgow City","Glasgow",749,185,564,3662.12251453981,3662.12251453981,874,558,3916,450.5,7708.47480097252
"3578",2012,"Scotland","Glasgow City","Glasgow",238,60,178,3892.32214528554,3892.32214528554,3145,16,4519,363,6325.98364790909
"3579",2012,"Scotland","Glasgow City","Glasgow",808,370,438,2610.02207684538,2610.02207684538,871,404,4825,665.5,18568.8938803814
"3580",2012,"Scotland","Glasgow City","Glasgow",1192,320,872,2813.00839772759,2813.00839772759,1201,692,5968,831.5,13370.3419765537
"3581",2012,"Scotland","Glasgow City","Glasgow",2042,255,1787,3111.45118992712,3111.45118992712,2059,159,4427,1119,18478.2858315595
"3582",2012,"Scotland","Glasgow City","Glasgow",630,330,300,2594.52707307271,2594.52707307271,220,325,5655,846,16573.7538878516
"3583",2012,"Scotland","Glasgow City","Glasgow",538,200,338,4295.8663287988,4295.8663287988,2616,467,3664,1501.5,4827.36171815525
"3584",2012,"Scotland","Glasgow City","Glasgow",821,270,551,7221.51597291039,5637.858212569,315,154,5793,1002.5,6167.0237610133
"3585",2012,"Scotland","Glasgow City","Glasgow",688,195,493,3513.29699890991,3513.29699890991,1967,250,6305,1119,15705.6390943309
"3586",2012,"Scotland","Glasgow City","Glasgow",1111,310,801,7014.35475230354,5898.85797573656,1616,402,5687,1002.5,6451.54670739385
"3587",2012,"Scotland","Glasgow City","Glasgow",1112,30,1082,5585.92974154552,5585.92974154552,3088,5652,3747,725,9861.2035752699
"3588",2012,"Scotland","Glasgow City","Glasgow",640,45,595,5917.51476176422,5917.51476176422,5690,647,1032,1284,2266.64556884572
"3589",2012,"Scotland","Glasgow City","Glasgow",1441,50,1391,4188.20275065112,4188.20275065112,4321,4739,4179,1280.5,14160.1726839985
"3590",2012,"Scotland","Glasgow City","Glasgow",609,175,434,7844.09201121569,5366.14371567217,522,527,5282,1719,5686.12722141766
"3591",2012,"Scotland","Glasgow City","Glasgow",1442,50,1392,6510.92053889637,6452.6215218435,5364,5139,2482,966,7363.45084433771
"3592",2012,"Scotland","Glasgow City","Glasgow",1319,355,964,3325.21927735626,3325.21927735626,1577,464,3915,1119,14507.346861801
"3593",2012,"Scotland","Glasgow City","Glasgow",759,140,619,7525.0496462687,5610.80747127804,475,1088,5699,1002.5,5838.44546181462
"3594",2012,"Scotland","Glasgow City","Glasgow",985,45,940,4475.6138997051,4475.6138997051,4054,4731,4343,1063.5,13335.1739214082
"3595",2012,"Scotland","Glasgow City","Glasgow",927,405,522,3016.05475550997,3016.05475550997,243,414,5016,579,14196.2575895957
"3596",2012,"Scotland","Glasgow City","Glasgow",800,330,470,3914.0290436115,3914.0290436115,476,174,4291,1280.5,14379.3978212326
"3597",2012,"Scotland","Glasgow City","Glasgow",640,20,620,5158.6276570428,5158.6276570428,3535,4794,3694,1063.5,10720.676991458
"3598",2012,"Scotland","Glasgow City","Glasgow",684,165,519,4149.06308439784,4149.06308439784,2750,448,4753,1501.5,5960.43118782986
